0,0
4.352,-0.6155
8.704,-1.231
13.055,-1.8465
17.407,-2.462
21.759,-3.0777
26.111,-3.6932
30.462,-4.3087
34.814,-4.9242
39.166,-5.5397
43.518,-6.1552
47.87,-6.7707
52.221,-7.3863
56.573,-8.002
60.925,-8.6175
65.277,-9.233
69.628,-9.8485
73.98,-10.464
78.332,-11.079
82.684,-11.695
87.036,-12.31
91.387,-12.926
95.739,-13.542
100.091,-14.157
104.443,-14.773
108.794,-15.388
113.146,-16.004
117.498,-16.619
121.85,-17.235
126.202,-17.85
130.553,-18.466
134.905,-19.081
139.257,-19.697
143.609,-20.312
147.96,-20.928
152.312,-21.544
156.664,-22.159
161.016,-22.774
165.368,-23.39
169.719,-24.006
174.071,-24.621
178.423,-25.237
182.775,-25.852
187.126,-26.468
191.478,-27.083
195.83,-27.699
200.182,-28.314
204.534,-28.93
208.885,-29.546
213.237,-30.161
217.589,-30.776
221.941,-31.392
226.292,-32.008
230.644,-32.623
234.996,-33.239
239.348,-33.854
243.7,-34.47
248.057,-35.083
252.478,-35.667
256.971,-36.215
261.533,-36.727
266.158,-37.201
270.842,-37.638
275.581,-38.037
280.368,-38.398
285.199,-38.719
290.069,-39.002
294.973,-39.245
299.906,-39.449
304.863,-39.613
309.838,-39.736
314.827,-39.82
319.824,-39.863
324.823,-39.866
329.821,-39.829
334.811,-39.751
339.789,-39.633
344.748,-39.475
349.685,-39.278
354.594,-39.04
359.469,-38.763
364.309,-38.449
369.139,-38.125
373.968,-37.802
378.798,-37.478
383.627,-37.155
388.457,-36.831
393.287,-36.508
398.116,-36.184
402.946,-35.861
407.776,-35.537
412.605,-35.214
417.435,-34.89
422.264,-34.566
427.094,-34.243
431.924,-33.919
436.753,-33.596
441.583,-33.272
446.413,-32.949
451.242,-32.625
456.072,-32.302
460.901,-31.978
465.731,-31.654
470.561,-31.331
475.39,-31.008
480.22,-30.684
485.049,-30.36
489.879,-30.037
494.709,-29.713
499.538,-29.39
504.386,-29.083
509.271,-28.817
514.188,-28.591
519.133,-28.407
524.1,-28.264
529.084,-28.163
534.078,-28.103
539.077,-28.084
544.076,-28.108
549.069,-28.173
554.05,-28.279
559.015,-28.427
563.957,-28.617
568.871,-28.847
573.752,-29.118
578.594,-29.43
583.391,-29.782
588.139,-30.173
592.833,-30.604
597.466,-31.074
602.034,-31.582
606.531,-32.128
610.954,-32.711
615.296,-33.331
619.553,-33.986
623.72,-34.677
627.793,-35.402
631.767,-36.16
635.638,-36.952
639.402,-37.775
643.053,-38.628
646.588,-39.512
650.004,-40.425
653.296,-41.366
656.461,-42.333
659.496,-43.327
662.396,-44.345
665.24,-45.373
668.084,-46.401
670.928,-47.429
673.772,-48.457
676.616,-49.485
679.459,-50.513
682.303,-51.541
685.147,-52.569
687.991,-53.598
690.835,-54.626
693.679,-55.654
696.523,-56.682
699.367,-57.71
702.211,-58.738
705.055,-59.766
707.899,-60.794
710.743,-61.822
713.647,-62.84
716.71,-63.828
719.928,-64.784
723.297,-65.708
726.811,-66.597
730.464,-67.451
734.251,-68.266
738.166,-69.044
742.201,-69.782
746.352,-70.479
750.61,-71.134
754.97,-71.746
759.425,-72.313
763.966,-72.836
768.588,-73.313
773.282,-73.743
778.041,-74.126
782.857,-74.461
787.724,-74.748
792.632,-74.986
797.575,-75.174
802.543,-75.313
807.53,-75.403
812.527,-75.442
817.527,-75.431
822.521,-75.37
827.501,-75.26
832.459,-75.1
837.388,-74.89
842.279,-74.631
847.125,-74.323
851.918,-73.968
856.65,-73.564
861.314,-73.114
865.905,-72.619
870.473,-72.111
875.041,-71.602
